user_id,rollcall_score,class_activity,discipline,total_quizzes_avg
12608,11,12.57,12.43,8.48
563,14,9.97,14.76,7.19
765,12,13.18,6.0,13.99
6274,5,5.0,10.38,11.77
11267,11,14.23,6.8,9.15
14876,10,6.08,9.8,11.2
7071,14,12.96,14.04,13.28
7406,12,5.9,13.68,5.87
14672,8,12.79,13.23,7.09
2560,13,9.71,7.04,8.99
12096,11,5.53,7.68,8.75
51,11,13.93,10.39,7.27
489,7,9.48,5.84,13.64
8612,10,8.63,14.8,5.23
10921,8,11.78,12.43,6.63
8284,8,8.03,12.33,5.35
6152,7,14.17,8.33,14.26
13363,10,14.75,11.77,11.27
6588,5,9.79,13.14,7.74
31,6,6.14,14.0,8.69
6913,15,13.97,5.6,5.46
19285,15,10.55,14.87,5.36
13075,10,14.96,13.83,10.88
7732,8,14.99,5.88,7.7
3583,7,9.08,5.99,7.38
1110,11,5.01,11.23,11.68
12392,6,13.91,11.68,5.95
14685,6,9.89,9.16,7.53
15653,14,12.83,8.33,6.11
16814,13,8.78,6.61,14.76
6304,10,7.49,12.03,6.04
2126,15,11.68,14.78,8.61
2482,7,7.92,11.46,5.48
10890,7,6.62,10.48,9.96
15397,8,6.99,14.94,11.92
4009,9,10.24,9.47,13.46
15231,7,8.56,6.25,7.91
17851,15,13.3,6.51,8.87
15066,5,8.32,6.26,14.9
3341,8,7.96,13.28,13.1
6653,14,10.88,7.42,5.62
12450,15,5.68,9.95,10.12
1389,7,6.86,13.97,11.75
17246,14,13.29,8.46,11.86
3509,13,5.01,7.59,13.74
19487,15,9.76,8.97,5.92
9197,7,13.55,5.21,5.49
7106,15,8.99,12.12,11.34
12274,9,10.99,11.93,8.26
13017,8,8.51,5.1,7.1
18433,5,13.03,13.19,7.76
688,5,7.26,13.31,11.49
9767,7,7.91,13.57,5.55
19244,14,5.28,5.02,11.15
14758,12,11.43,7.27,14.56
5458,9,6.8,12.17,11.39
2536,6,14.47,8.71,14.66
8229,9,13.15,9.27,5.06
13644,14,7.52,5.9,11.32
6831,9,5.17,11.31,6.96
18188,8,9.62,10.59,11.95
14560,10,12.33,12.17,5.24
8071,15,5.32,10.05,13.7
13518,5,10.11,10.46,9.91
13371,10,10.61,13.47,7.02
2842,9,10.45,6.15,10.75
3640,7,5.95,10.46,5.29
10164,7,10.18,8.41,14.98
15852,7,12.71,12.74,13.28
15374,9,11.09,6.57,6.8
18947,9,6.03,8.74,8.04
10114,5,9.41,10.95,6.46
13229,8,8.85,14.66,13.97
19910,8,6.52,10.81,13.31
16326,11,10.92,6.14,10.19
5720,14,9.87,7.04,10.23
7107,10,9.16,5.29,10.91
17963,14,11.05,7.97,9.45
12303,15,13.73,7.33,14.05
9661,7,7.37,12.83,6.51
1781,13,13.98,14.41,5.19
11304,15,10.38,9.62,5.16
18659,13,14.25,14.78,8.04
3206,12,12.98,8.33,9.17
3401,5,11.45,5.17,7.28
10330,14,14.3,5.89,10.45
5640,7,13.15,5.22,9.83
18671,8,12.54,8.22,13.99
16939,13,10.3,13.37,11.52
10760,9,8.51,8.33,11.09
2903,9,14.78,7.86,10.48
19095,12,8.76,13.7,6.37
19783,5,12.49,8.8,6.13
18137,12,8.5,9.71,11.54
18122,7,14.29,6.3,8.05
11185,8,12.83,12.62,7.68
609,14,11.35,12.58,10.99
8782,7,12.63,8.37,6.82
3371,13,8.24,9.27,7.93
17149,9,11.92,6.31,8.6
16341,8,12.58,10.31,13.19
14880,14,11.99,5.68,5.44
10168,9,5.94,10.0,6.93
8509,12,11.48,11.96,7.76
9064,6,14.89,13.92,13.08
9718,11,8.01,5.62,7.25
6854,6,9.89,9.68,13.83
14612,13,6.18,9.02,13.65
12226,9,7.64,14.94,9.01
8949,15,10.18,5.2,6.11
14110,8,7.73,6.41,12.54
9619,12,5.66,9.01,5.12
9410,10,10.62,6.35,10.46
12277,7,5.81,11.12,11.61
14045,7,9.67,13.99,10.26
2028,8,9.47,12.25,9.33
10332,10,7.03,6.12,9.4
5689,15,11.57,14.76,6.7
1882,5,11.1,5.48,11.27
18176,15,13.24,14.05,9.68
18859,12,5.75,7.0,9.64
16221,14,7.53,14.47,8.45
789,13,13.19,12.28,6.39
15783,8,14.17,11.34,7.01
15098,12,7.31,5.94,7.73
6299,11,11.61,11.85,14.39
8124,10,8.09,12.3,12.55
19964,7,13.28,7.98,8.47
14388,12,12.72,12.8,13.69
5417,13,13.0,5.05,11.1
12465,8,14.33,10.36,10.69
9282,11,14.5,7.17,6.11
16371,9,9.87,7.5,11.62
12763,15,8.62,11.29,9.19
12456,7,12.08,10.52,14.32
12971,10,10.5,13.88,13.87
6933,12,9.16,5.54,14.24
330,6,8.17,9.97,9.94
7625,10,14.37,14.46,11.75
1154,11,13.93,11.42,12.79
11076,15,11.48,8.21,10.18
17572,12,7.07,7.28,8.05
1383,5,6.46,12.06,12.88
8930,8,11.04,9.94,13.74
17090,9,5.74,13.42,13.33
16924,15,5.01,9.87,6.54
5973,13,6.72,8.36,11.4
4100,8,13.61,14.47,11.54
3644,11,9.99,8.35,6.59
14617,12,13.25,6.71,5.54
11028,7,10.85,6.7,10.51
19939,14,8.72,14.01,11.09
12921,10,11.85,10.08,5.19
14263,13,14.93,5.44,8.42
6994,9,11.77,8.25,8.78
4013,5,7.27,5.03,14.43
12930,11,14.73,5.03,7.96
19651,12,9.3,7.55,5.39
17292,10,13.57,5.51,11.44
17364,11,9.12,5.83,9.68
17510,5,7.33,13.0,8.21
8923,5,10.61,14.3,14.32
15814,15,9.1,5.67,9.51
6282,10,5.28,11.43,11.38
8302,15,11.65,13.36,13.07
14525,15,8.84,13.51,12.71
7665,9,11.72,12.65,9.82
12754,10,7.7,8.61,10.18
3596,7,13.46,10.65,6.7
15952,15,7.09,8.79,9.43
6347,11,6.3,6.15,13.5
9581,9,8.38,9.93,7.95
288,8,5.55,6.98,13.52
10443,14,8.48,14.92,14.11
2130,9,12.27,6.89,13.09
9139,8,5.79,9.8,9.64
6291,6,11.0,14.45,9.74
11022,5,7.3,5.5,9.52
2432,10,14.47,9.86,9.32
9419,14,13.59,6.59,10.5
16916,14,12.25,12.92,12.29
19138,9,12.23,14.67,5.93
3395,15,14.83,11.0,8.62
6531,6,8.91,6.94,8.4
19429,12,9.49,13.52,12.99
1533,6,14.22,13.98,9.19
14423,8,12.24,14.62,12.53
2173,15,8.21,11.32,13.02
7291,6,9.51,8.07,5.49
12221,9,9.37,5.22,11.04
18040,6,14.28,12.31,7.52
3922,13,14.03,7.55,10.18
1280,15,10.45,13.36,6.03
8890,12,8.38,13.82,6.58
17022,8,14.39,12.27,14.55
13186,13,11.95,6.4,14.17
5504,11,5.59,8.57,13.59
1392,13,12.85,10.14,13.62
3798,13,7.4,5.21,14.68
11378,7,8.24,8.55,5.65
1594,12,7.52,7.98,7.0
17928,14,7.19,7.38,14.09
4486,12,7.49,12.67,8.46
3805,12,5.85,7.02,10.59
7010,5,5.92,6.49,11.72
8831,6,13.48,11.95,7.23
8634,13,9.54,10.32,14.59
17221,13,10.61,6.06,5.13
13921,10,13.36,13.16,14.13
19852,10,8.04,12.17,14.23
16060,10,10.26,14.58,6.93
3450,14,11.94,8.88,13.35
1305,11,5.83,5.95,10.61
4170,9,7.08,14.32,12.17
10382,15,13.94,7.27,9.37
14388,15,14.34,8.71,12.52
15062,5,8.45,14.62,5.31
14387,15,14.71,8.93,8.78
13184,12,10.84,12.11,11.12
374,11,11.45,9.94,9.55
18389,9,7.52,11.64,14.05
217,10,13.9,10.55,9.13
2641,8,8.64,9.96,9.87
3187,13,14.85,8.96,5.61
7278,14,11.75,12.49,11.04
1027,8,8.86,12.58,9.51
10846,8,5.53,6.08,13.61
7502,9,6.45,7.53,11.78
15046,11,11.14,7.33,6.99
15376,8,14.07,14.62,11.5
14969,9,13.61,5.38,8.03
8833,8,14.18,7.45,8.55
15912,10,14.86,8.77,14.26
7536,6,9.46,13.06,11.22
15399,7,5.58,14.46,5.15
11005,13,5.73,6.74,10.58
13059,8,7.26,12.08,5.24
10321,6,7.64,8.61,9.53
7789,13,7.31,6.72,7.07
1918,11,9.66,5.41,13.89
17668,7,10.98,10.63,6.69
19543,6,11.1,14.71,7.01
11870,14,14.92,9.48,12.12
16639,9,12.11,11.75,5.74
614,5,10.71,9.17,5.61
17597,5,10.53,12.17,12.95
11858,12,14.78,7.57,5.76
16160,13,6.56,11.56,7.75
19172,9,13.69,6.58,13.84
5750,13,14.29,6.84,9.07
9676,7,6.75,8.6,12.51
10036,12,13.6,7.31,9.81
15970,14,6.92,11.01,6.96
374,13,11.99,5.78,10.93
14306,5,7.19,13.09,6.85
2550,11,14.72,11.71,9.87
3521,13,10.05,14.03,7.74
327,8,11.89,6.41,7.26
2980,6,6.27,6.2,12.75
19956,10,13.74,5.06,13.82
10022,6,5.42,5.22,12.69
12991,13,7.25,5.14,7.8
3438,10,6.56,5.95,9.15
17805,14,6.55,12.83,13.19
5660,7,8.99,9.65,10.0
8736,11,5.55,6.9,14.03
15295,9,10.55,11.59,10.3
11107,13,5.45,7.25,13.91
12321,14,7.28,7.8,12.32
15014,10,12.43,5.85,14.74
5240,7,14.65,12.26,10.79
13591,14,8.31,11.55,14.74
4247,11,8.74,7.58,7.05
19374,7,6.02,11.49,10.8
16575,9,13.37,7.54,9.81
16542,15,5.51,11.28,9.09
10253,7,14.18,8.86,13.13
3594,12,9.52,11.58,5.71
11860,8,10.38,14.83,13.26
7430,13,14.47,14.38,8.46
13836,7,8.98,5.49,10.43
3777,7,12.87,10.64,11.42
13806,5,9.35,8.41,9.46
19777,11,12.1,8.58,13.02
13532,5,11.14,12.91,6.09
10706,8,13.31,14.32,14.21
2174,14,11.0,9.7,8.94
11979,9,6.44,10.0,8.38
15547,7,5.82,14.09,13.12
18254,6,13.78,14.52,7.74
10008,10,12.24,11.67,14.94
2606,15,8.0,11.68,9.74
16687,13,5.94,8.02,14.27
14464,14,6.26,5.41,13.2
16173,10,13.22,12.85,8.06
14589,9,11.82,13.2,9.75
15943,9,10.55,6.81,11.05
5293,12,10.82,6.28,9.98
17688,7,9.33,10.26,10.55
3522,11,9.4,5.4,5.23
2053,9,6.19,9.33,7.88
16370,7,13.45,12.71,5.09
1420,13,7.55,8.1,7.29
7299,8,11.05,6.93,14.13
14572,10,5.27,14.2,11.18
5670,6,12.68,11.9,10.48
6529,10,11.29,6.37,5.64
8068,10,11.3,5.26,6.76
6934,5,14.48,7.74,8.79
10743,11,9.89,5.04,5.97
13640,12,14.65,11.46,6.89
10453,12,8.73,11.55,12.68
10923,10,11.32,5.26,9.07
4057,11,9.15,13.83,8.81
4761,13,11.74,12.59,14.41
14520,12,11.34,9.54,12.59
6251,9,13.93,5.14,8.54
19992,11,6.15,7.33,6.72
9995,9,8.02,6.44,12.95
687,5,7.53,6.55,10.39
17220,9,8.98,12.09,11.56
16859,9,7.84,10.88,12.5
17978,12,6.4,10.55,5.12
6787,7,14.32,8.44,13.51
10939,14,5.98,12.36,5.85
11238,8,6.23,9.94,12.46
5867,6,13.28,14.66,11.98
6077,13,8.64,9.99,8.78
18262,8,10.38,7.41,10.49
18584,10,14.67,7.21,5.12
14981,13,9.82,13.89,11.69
19991,8,12.5,5.48,9.26
19133,11,14.35,9.06,10.81
8957,14,9.6,11.17,6.17
18735,6,7.05,7.28,13.85
6714,8,11.75,13.66,8.02
11816,6,5.38,6.46,5.61
1291,9,14.09,12.2,11.39
10174,9,8.27,11.6,10.34
15219,5,12.48,11.35,10.56
7811,8,13.19,13.87,14.95
12088,9,5.64,14.34,11.28
5573,13,5.25,13.75,9.57
16062,10,5.96,6.54,14.27
5441,14,14.49,7.56,6.99
2801,6,13.46,9.92,14.57
15808,15,8.47,12.32,9.57
4165,14,14.75,8.6,8.29
17173,9,8.54,10.31,12.36
8010,15,8.61,14.02,5.06
17533,13,9.53,5.08,7.87
3845,10,7.4,11.84,12.02
423,14,6.15,10.56,7.35
86,13,14.91,8.46,14.28
7591,11,14.43,7.66,8.72
12501,7,10.56,7.65,12.98
3869,9,7.03,9.2,6.48
3093,12,12.36,10.66,9.41
2684,14,7.37,5.12,14.44
7434,13,6.18,5.37,14.09
19390,6,6.6,11.56,11.52
2935,10,13.58,9.09,14.31
3106,8,12.4,13.88,13.23
19696,6,8.16,11.78,8.71
15866,15,14.57,5.8,7.21
7036,7,12.95,12.53,14.73
5002,14,14.87,6.65,9.07
7929,13,12.27,11.63,11.96
16752,9,10.79,7.86,7.97
8939,15,5.27,12.56,11.76
10271,11,10.12,10.09,12.08
17875,6,7.95,14.2,5.4
12025,8,13.38,6.48,11.65
10068,14,13.29,11.14,5.75
10576,7,8.93,5.34,14.65
4905,10,10.46,7.37,6.34
10444,14,5.73,14.47,12.09
3648,14,12.91,12.56,14.27
1280,7,14.12,6.72,8.64
13695,5,12.42,12.98,6.17
2270,5,9.25,7.51,7.19
9707,12,11.54,12.51,6.62
12691,13,14.58,13.6,10.05
16994,5,14.73,14.84,6.41
15194,5,12.53,14.95,13.85
9625,5,13.92,12.1,5.29
10888,13,10.33,8.71,12.56
14254,11,7.17,12.45,8.92
18982,8,14.45,5.24,11.9
401,12,11.63,10.15,13.17
11883,13,10.18,13.65,13.28
19732,14,10.4,14.51,10.46
12402,15,10.85,14.52,10.37
3685,6,14.91,8.24,6.26
14383,10,8.21,7.69,5.38
5874,13,6.37,13.38,8.57
18141,10,10.44,10.57,8.82
4038,8,6.74,13.15,8.12
18855,6,5.08,13.64,7.58
10586,7,14.62,7.55,13.4
75,11,13.44,12.01,14.33
15894,9,9.64,11.28,11.05
8083,11,14.99,9.37,5.9
8566,8,11.04,11.85,5.61
19248,14,14.6,13.76,8.3
7837,14,10.55,12.48,8.34
18292,6,10.79,8.33,12.65
10945,7,5.92,10.62,7.61
209,11,5.45,7.23,11.49
19451,14,8.44,11.25,5.84
10839,6,10.03,12.5,8.96
843,15,11.11,10.26,9.69
18548,15,13.59,5.59,8.23
2530,5,8.3,9.8,13.81
15579,10,5.95,5.02,13.56
9322,12,14.7,7.86,11.57
11526,14,10.14,8.21,6.92
6119,5,6.81,5.06,13.31
7959,11,7.62,12.7,10.99
19886,7,10.13,10.83,6.62
6714,7,13.3,12.37,7.52
10446,6,14.42,11.74,13.23
11078,5,11.52,7.65,9.84
12480,12,9.77,14.86,7.35
17030,15,13.58,5.8,5.63
6785,7,11.95,13.58,11.06
14815,8,12.49,5.45,5.11
9696,8,5.06,12.84,12.46
19159,5,5.18,11.61,11.96
19002,6,14.75,9.12,14.04
3363,8,7.05,7.43,8.21
11791,13,9.84,7.13,8.93
14403,14,12.67,9.56,5.34
14689,5,13.88,7.01,5.73
756,5,8.62,8.62,10.0
13822,6,13.57,8.24,7.78
6130,13,12.62,10.03,6.15
19873,12,11.61,11.94,11.74
12797,5,11.26,7.71,5.61
10000,6,7.95,13.44,6.78
1578,8,12.22,8.97,11.97
19223,5,14.58,8.84,11.67
14129,14,11.83,8.61,5.68
11655,10,6.63,7.94,14.34
1788,12,12.34,11.97,14.15
6109,14,5.14,8.94,9.28
14649,8,14.99,12.66,5.79
4413,8,11.25,10.43,13.01
17127,7,6.97,6.39,7.42
4544,10,9.65,12.34,9.51
1220,13,13.6,10.59,9.06
7452,8,13.81,13.54,14.25
15816,7,13.71,8.47,11.3
5456,5,13.51,6.21,7.18
3304,12,13.36,6.45,11.16
19025,10,6.48,6.42,6.92
11116,14,10.16,12.44,13.24
256,14,13.02,8.58,12.04
11368,10,10.68,11.45,14.21
10868,15,11.25,6.0,10.39
19070,13,6.61,6.69,11.57
5755,7,13.62,13.33,11.85
12531,12,14.6,14.91,9.67
408,7,7.05,7.4,9.34
3454,9,6.1,10.24,5.25
13855,9,11.58,14.35,7.74
14497,8,10.63,14.23,9.0
17059,7,6.35,7.56,10.28
7827,12,7.52,9.39,10.11
14197,5,8.49,10.2,12.41
3360,8,7.02,9.42,13.07
2017,8,11.65,14.42,7.78
8816,10,5.01,10.58,11.8
9331,13,10.29,5.67,10.41
1274,7,8.75,6.13,13.61
12269,13,8.63,9.77,10.78
10741,13,6.76,14.83,12.03
1772,6,8.61,9.72,10.56
790,12,5.34,12.77,8.74
395,8,8.2,10.0,12.52
10244,6,14.63,14.35,6.59
1607,5,12.12,9.48,12.42
11529,7,11.98,11.21,11.44
5174,11,12.07,14.29,9.9
12933,7,14.44,14.23,5.98
6962,8,12.29,12.74,6.59
2210,7,11.71,12.46,14.96
4989,10,11.98,12.36,12.47
10744,15,7.31,14.23,10.53
13052,8,13.21,9.86,14.83
6157,10,8.03,13.89,14.99
12239,10,5.19,6.54,10.82
11089,9,11.38,14.84,9.13
5919,8,11.21,12.73,11.81
2826,11,12.13,12.27,10.5
8053,10,5.69,12.92,13.91
17686,13,6.02,14.62,6.6
15421,11,5.44,14.26,11.14
8256,5,9.37,7.44,6.66
3360,10,14.73,6.05,14.57
19874,7,9.14,13.52,11.45
17722,14,7.34,14.04,11.42
16152,9,7.08,11.28,14.61
11956,10,9.31,11.61,13.29
6206,6,6.34,14.19,9.28
12399,15,13.7,5.26,7.12
1596,5,5.82,14.72,14.37
1245,15,14.03,11.63,8.96
957,7,12.73,11.11,12.07
6741,7,13.2,8.34,12.99
2304,11,13.94,12.8,9.91
3714,5,13.75,12.31,6.89
18781,10,14.52,14.59,6.55
1021,8,10.24,11.48,8.34
14249,9,14.73,9.92,8.05
5705,13,7.02,6.19,12.34
17527,8,10.97,11.63,7.4
13308,7,5.63,11.09,13.13
3465,11,7.32,12.93,9.7
17383,9,13.75,13.67,8.41
3361,11,5.28,9.82,13.72
12766,12,11.24,10.92,12.17
979,5,9.57,6.67,7.77
14563,8,5.46,8.11,13.88
10946,8,7.44,11.58,9.75
4912,14,12.16,12.82,5.07
2102,7,11.47,5.89,5.48
14397,8,9.78,7.66,7.83
16511,13,8.94,14.13,6.17
8365,14,7.36,9.02,13.57
12985,15,13.88,8.59,12.3
1774,15,13.49,5.11,11.32
18044,6,14.23,7.54,5.24
10479,6,12.29,10.73,12.62
13396,8,14.22,14.56,11.01
16701,7,8.53,8.23,8.55
5716,14,11.13,9.18,11.46
2087,6,6.08,5.04,7.32
17714,13,14.58,7.98,5.05
9665,9,10.18,12.35,11.52
821,6,8.67,13.65,10.48
5225,14,8.72,12.5,6.2
19750,11,9.27,8.04,11.33
17850,13,14.42,7.72,10.14
13237,14,5.67,9.12,5.18
17171,15,6.1,10.35,8.17
7340,13,12.25,6.18,13.96
11026,14,12.38,5.86,7.75
2747,10,5.19,13.19,12.03
11374,8,9.7,12.01,5.67
11328,8,7.72,13.79,13.89
18875,15,11.26,10.22,7.23
4329,6,14.57,8.32,11.14
17039,10,7.97,12.1,5.75
8300,8,6.4,10.07,5.34
3657,7,13.35,12.58,9.26
4480,11,12.1,12.29,9.48
9034,8,9.17,7.08,12.44
1108,9,13.58,11.56,6.81
7121,7,13.3,5.48,11.7
380,13,14.73,12.41,12.67
3032,10,7.73,7.59,5.49
5949,12,12.74,7.33,5.23
15048,5,11.48,8.43,11.55
8130,15,9.28,14.01,13.83
6179,8,8.72,7.88,7.01
2925,15,10.4,9.26,7.05
3631,7,8.36,5.56,14.64
10523,6,7.37,8.31,7.41
3386,10,5.73,9.57,11.01
13382,9,7.38,10.49,12.72
1412,10,8.45,13.83,7.33
15964,10,5.37,14.65,9.59
16600,9,9.93,13.89,11.17
8856,11,11.3,6.06,8.43
9443,9,14.57,13.19,6.25
6415,8,5.93,11.76,6.69
8801,12,13.75,8.3,10.1
14338,5,7.9,10.02,7.69
1910,5,5.17,6.19,9.9
10997,7,9.3,10.79,13.06
6534,11,14.4,5.35,9.04
6113,11,6.8,11.45,9.24
7530,9,12.33,5.07,14.76
10234,15,11.92,5.21,6.45
10875,14,6.57,7.65,11.46
17105,8,11.6,8.21,7.36
12420,10,6.41,8.87,14.87
17149,10,11.14,6.18,14.05
4912,12,8.73,6.52,11.01
2425,8,9.86,14.49,8.77
11351,8,10.59,5.62,6.1
10142,8,8.67,14.04,14.13
16132,11,9.78,9.92,13.6
9761,15,12.58,7.34,6.72
4151,6,5.12,8.75,5.18
4511,6,7.07,13.09,10.71
4843,6,9.22,6.84,14.67
1333,5,5.47,8.09,5.09
14200,5,10.09,12.34,13.78
10887,8,13.46,9.3,13.4
13749,10,11.56,7.39,10.86
14073,13,5.51,10.52,12.18
19000,15,14.36,13.17,6.21
14098,6,14.0,6.12,13.65
7262,15,11.97,9.35,10.37
13874,6,8.04,7.19,7.23
4789,15,8.55,6.13,8.55
17448,10,14.89,8.8,10.77
19537,5,12.52,7.36,12.22
19309,15,7.47,7.16,7.74
3615,7,10.83,9.36,7.39
12877,6,12.64,9.93,7.43
3667,13,9.34,6.08,13.2
18914,12,6.78,7.09,8.78
4466,12,7.94,10.35,13.08
19892,10,7.19,11.09,8.19
10443,6,9.26,6.12,7.38
12075,13,6.55,12.75,10.06
18306,13,10.09,9.36,11.42
13368,14,11.94,14.68,7.51
5905,5,14.05,14.74,11.7
16571,10,13.5,13.57,12.75
3350,9,7.75,14.24,14.93
1463,11,12.13,12.39,7.5
18587,13,10.3,10.74,14.44
15540,8,11.98,8.38,9.68
17560,9,13.71,10.05,10.34
8794,15,7.29,8.45,5.13
17448,13,11.1,13.15,10.36
916,11,10.54,6.79,12.99
10640,6,5.64,12.3,10.11
13980,13,12.94,11.85,12.0
13203,14,9.08,6.28,11.17
6921,15,10.0,13.87,9.41
5708,15,9.9,14.53,14.57
4728,9,7.45,7.89,7.24
6408,11,12.94,8.75,14.73
9875,14,9.26,5.72,7.69
9850,6,8.87,9.29,12.38
6438,15,7.23,12.58,6.41
15606,13,10.57,12.12,14.12
5440,6,13.26,14.39,11.97
8174,11,12.44,7.31,9.91
5994,12,5.51,5.65,9.49
449,8,13.67,8.09,10.94
8186,11,14.83,10.71,9.49
18438,11,10.32,12.02,5.75
19780,11,11.61,5.19,9.52
5220,11,5.06,10.5,13.59
631,12,11.81,13.76,10.79
19890,6,14.09,11.42,11.66
15687,13,6.52,10.74,7.61
5454,13,7.47,11.61,12.85
1540,15,5.58,11.93,12.61
11457,7,8.34,13.9,10.31
11908,12,7.55,11.4,12.79
2548,5,11.79,13.82,8.17
12857,12,11.65,13.94,9.2
12925,11,5.66,8.37,11.25
8200,15,14.45,7.54,6.74
8646,13,14.64,5.14,6.23
9574,11,10.18,6.03,5.73
6514,13,11.42,5.65,7.49
11243,11,6.1,14.18,9.55
12503,15,10.14,13.7,5.88
18646,7,11.49,14.8,6.27
7777,9,9.97,12.35,6.77
7889,8,14.08,8.26,7.19
13514,13,10.43,6.7,11.86
19432,12,6.83,7.54,11.87
10885,7,10.02,7.66,6.44
4478,9,6.8,14.03,9.8
12284,13,9.55,9.76,8.67
7929,10,9.5,9.73,13.34
16994,9,9.71,7.2,7.97
4778,13,9.25,5.21,12.61
2701,14,14.35,11.09,14.46
11698,15,7.75,6.59,10.05
5512,8,7.37,11.73,5.66
13403,10,5.28,8.12,6.64
12170,6,6.84,13.14,9.21
13109,6,5.67,13.32,13.12
6509,9,13.97,13.46,14.24
15831,5,14.95,6.35,9.01
19224,12,10.04,10.54,12.34
1431,15,13.46,11.15,6.33
16815,5,6.74,13.1,9.34
11434,11,14.66,11.49,12.63
16310,13,11.45,13.75,5.43
12507,8,5.86,12.48,14.43
5872,11,11.81,13.82,12.59
4436,8,14.39,7.31,7.23
10160,13,6.8,8.49,13.49
9708,6,14.69,12.36,8.21
