id,time,total_quizzes_avg,class_activity,discipline,rollcall_score
14233,62a18a5a-11f5-11eb-aa67-ac7289d091ca,11.39,9.36,13.01,7
5063,62eae57e-11f5-11eb-aa67-ac7289d091ca,7.13,7.61,10.57,10
707,629b8916-11f5-11eb-aa67-ac7289d091ca,11.28,7.43,11.93,14
7870,6237b120-11f5-11eb-aa67-ac7289d091ca,7.69,13.24,8.66,13
15167,6301d112-11f5-11eb-aa67-ac7289d091ca,6.36,14.97,12.9,15
4411,623adde6-11f5-11eb-aa67-ac7289d091ca,13.72,8.71,10.46,6
16390,6229da78-11f5-11eb-aa67-ac7289d091ca,9.42,11.85,8.52,5
5501,62ad228e-11f5-11eb-aa67-ac7289d091ca,11.21,12.43,8.65,15
4988,62d546f6-11f5-11eb-aa67-ac7289d091ca,14.74,5.1,7.25,5
6367,62f77da2-11f5-11eb-aa67-ac7289d091ca,9.58,12.63,11.49,7
1254,62d24122-11f5-11eb-aa67-ac7289d091ca,14.75,13.89,5.66,15
16555,629ecd10-11f5-11eb-aa67-ac7289d091ca,7.13,9.16,9.89,11
19622,6290d868-11f5-11eb-aa67-ac7289d091ca,13.82,13.13,10.86,7
17309,62525a84-11f5-11eb-aa67-ac7289d091ca,10.26,9.29,11.4,13
10242,62ece072-11f5-11eb-aa67-ac7289d091ca,9.03,13.14,12.21,12
2541,632489b4-11f5-11eb-aa67-ac7289d091ca,9.03,6.71,13.51,11
6567,622bdd46-11f5-11eb-aa67-ac7289d091ca,7.33,5.5,7.35,8
140,623e12fe-11f5-11eb-aa67-ac7289d091ca,12.44,11.17,8.23,11
9874,62dc5950-11f5-11eb-aa67-ac7289d091ca,10.79,8.09,8.93,8
12212,6265e3ce-11f5-11eb-aa67-ac7289d091ca,6.46,8.37,10.44,14
2387,622dc6e2-11f5-11eb-aa67-ac7289d091ca,11.58,8.56,10.85,12
19568,631fed32-11f5-11eb-aa67-ac7289d091ca,10.25,9.31,6.01,10
4310,62fb8f46-11f5-11eb-aa67-ac7289d091ca,7.82,9.89,10.1,8
4777,62ea40e2-11f5-11eb-aa67-ac7289d091ca,13.56,11.62,11.41,9
2931,62ae0118-11f5-11eb-aa67-ac7289d091ca,8.96,12.32,13.61,8
5705,62c5316c-11f5-11eb-aa67-ac7289d091ca,6.65,13.56,14.88,5
187,62c983d4-11f5-11eb-aa67-ac7289d091ca,12.28,14.71,12.97,15
17916,631651f0-11f5-11eb-aa67-ac7289d091ca,8.94,6.88,7.41,7
11987,62bc01d2-11f5-11eb-aa67-ac7289d091ca,10.19,7.3,11.26,5
6927,62754594-11f5-11eb-aa67-ac7289d091ca,12.08,14.92,11.96,9
7519,626f0012-11f5-11eb-aa67-ac7289d091ca,11.18,7.03,7.57,5
10009,62cf0002-11f5-11eb-aa67-ac7289d091ca,13.79,14.28,10.86,9
7291,632b599c-11f5-11eb-aa67-ac7289d091ca,11.16,11.07,14.84,12
10181,63051926-11f5-11eb-aa67-ac7289d091ca,7.95,14.04,10.32,5
1762,62d31d0e-11f5-11eb-aa67-ac7289d091ca,11.24,13.31,7.62,12
7210,61ebe4c0-11f5-11eb-aa67-ac7289d091ca,13.26,5.82,6.92,15
19431,62a8e8cc-11f5-11eb-aa67-ac7289d091ca,14.47,12.99,6.03,6
3944,631ec7f4-11f5-11eb-aa67-ac7289d091ca,8.96,6.32,14.52,14
18358,62b0dc94-11f5-11eb-aa67-ac7289d091ca,5.15,7.46,9.93,7
3441,62f1fc1a-11f5-11eb-aa67-ac7289d091ca,12.22,9.25,5.61,10
8440,63009130-11f5-11eb-aa67-ac7289d091ca,6.04,7.29,8.82,13
19653,629979a0-11f5-11eb-aa67-ac7289d091ca,13.49,12.63,10.5,5
9316,6253400c-11f5-11eb-aa67-ac7289d091ca,6.05,12.94,9.64,11
12792,62c8c3fe-11f5-11eb-aa67-ac7289d091ca,9.22,6.68,9.85,9
7653,62c80522-11f5-11eb-aa67-ac7289d091ca,12.38,14.64,9.44,15
11764,63066524-11f5-11eb-aa67-ac7289d091ca,13.47,12.51,13.75,14
617,625a5af4-11f5-11eb-aa67-ac7289d091ca,5.9,12.23,6.65,12
14867,62a9a744-11f5-11eb-aa67-ac7289d091ca,6.59,8.98,9.98,8
8814,6327da24-11f5-11eb-aa67-ac7289d091ca,6.41,5.47,10.2,13
11340,6231e2fe-11f5-11eb-aa67-ac7289d091ca,9.93,12.28,9.6,5
19113,62f2f05c-11f5-11eb-aa67-ac7289d091ca,11.16,9.43,8.21,15
8980,62b32eb8-11f5-11eb-aa67-ac7289d091ca,13.42,10.28,13.71,5
19282,629392ce-11f5-11eb-aa67-ac7289d091ca,7.8,7.77,5.8,8
6505,6270e90e-11f5-11eb-aa67-ac7289d091ca,14.64,11.73,5.64,7
6779,62308616-11f5-11eb-aa67-ac7289d091ca,10.46,10.16,6.47,10
16801,624da1c4-11f5-11eb-aa67-ac7289d091ca,6.9,7.8,8.51,15
2907,628c3e66-11f5-11eb-aa67-ac7289d091ca,8.26,6.46,8.54,10
2861,626d75da-11f5-11eb-aa67-ac7289d091ca,11.29,6.64,7,15
11673,62d98928-11f5-11eb-aa67-ac7289d091ca,9.97,13.79,5.34,5
13056,624bf40a-11f5-11eb-aa67-ac7289d091ca,12.08,5.02,6.75,8
3597,629197d0-11f5-11eb-aa67-ac7289d091ca,11.55,7.17,13.91,6
16920,626cbfe6-11f5-11eb-aa67-ac7289d091ca,8.55,5.62,14.49,8
1375,631f57b4-11f5-11eb-aa67-ac7289d091ca,9.51,14.22,11.28,7
9418,623d1700-11f5-11eb-aa67-ac7289d091ca,14.66,6.82,7.36,13
9975,63113a62-11f5-11eb-aa67-ac7289d091ca,10.15,13.93,5.37,6
9853,62fcdb8a-11f5-11eb-aa67-ac7289d091ca,14.8,11.56,13.9,9
17721,62cbe750-11f5-11eb-aa67-ac7289d091ca,10.83,7.85,11.29,14
9638,62583e5e-11f5-11eb-aa67-ac7289d091ca,11.4,11.16,13.49,6
19443,629822d0-11f5-11eb-aa67-ac7289d091ca,7.83,10.38,5.29,6
6023,625064ea-11f5-11eb-aa67-ac7289d091ca,5.28,6.47,5.22,11
2956,631598be-11f5-11eb-aa67-ac7289d091ca,11.1,10.65,11.95,15
15194,625e0294-11f5-11eb-aa67-ac7289d091ca,12.55,13.19,13.71,8
15704,62b5658e-11f5-11eb-aa67-ac7289d091ca,12.01,12.92,5.91,9
2406,625d0df8-11f5-11eb-aa67-ac7289d091ca,7.19,11.51,14.77,12
5533,62514bc6-11f5-11eb-aa67-ac7289d091ca,5.12,10.77,12.89,10
11575,62a701a6-11f5-11eb-aa67-ac7289d091ca,12.12,9.26,14.58,10
19697,62669666-11f5-11eb-aa67-ac7289d091ca,11.97,8.21,14.11,5
19748,62d6e98e-11f5-11eb-aa67-ac7289d091ca,9.9,8.79,13.64,7
15366,6232d65a-11f5-11eb-aa67-ac7289d091ca,7.75,8.22,10.37,8
837,631a747e-11f5-11eb-aa67-ac7289d091ca,5.11,7.45,6.47,7
11838,62339914-11f5-11eb-aa67-ac7289d091ca,8.05,14.34,5.37,11
4754,630b373e-11f5-11eb-aa67-ac7289d091ca,10.69,8.31,9.49,7
14424,6256a3b4-11f5-11eb-aa67-ac7289d091ca,9.27,5.64,5.9,13
4175,62b269d8-11f5-11eb-aa67-ac7289d091ca,14.84,5.78,5.17,8
15221,6255d75e-11f5-11eb-aa67-ac7289d091ca,7.72,5.87,11.52,9
18546,62a033bc-11f5-11eb-aa67-ac7289d091ca,7.47,5.71,10.57,8
19581,629c3f46-11f5-11eb-aa67-ac7289d091ca,8.23,6.51,6.56,15
4387,62b4b710-11f5-11eb-aa67-ac7289d091ca,11.42,9.82,14.51,10
5830,6257651a-11f5-11eb-aa67-ac7289d091ca,6.56,5.58,5.55,9
5467,62423c08-11f5-11eb-aa67-ac7289d091ca,12.59,5.59,14.41,14
13909,628f20ea-11f5-11eb-aa67-ac7289d091ca,8.07,9.38,13.1,9
18113,62b1a30e-11f5-11eb-aa67-ac7289d091ca,5.07,11.56,11.52,11
19033,62976f70-11f5-11eb-aa67-ac7289d091ca,9.29,9.16,13.56,15
1690,62d084fe-11f5-11eb-aa67-ac7289d091ca,9.95,14.39,14.81,10
6558,62c1e2e6-11f5-11eb-aa67-ac7289d091ca,10.65,13.72,5.3,9
16890,62648970-11f5-11eb-aa67-ac7289d091ca,13.47,7.86,7.43,10
13289,62ff56c6-11f5-11eb-aa67-ac7289d091ca,10.19,9.48,10.57,13
14593,63292532-11f5-11eb-aa67-ac7289d091ca,9.29,7.64,6.28,14
4614,631c6ae0-11f5-11eb-aa67-ac7289d091ca,8.23,9.11,7.97,9
10858,62e519fa-11f5-11eb-aa67-ac7289d091ca,6.26,8.77,11.91,9
1761,628d9aae-11f5-11eb-aa67-ac7289d091ca,13.36,12.07,5.53,12
18330,63252996-11f5-11eb-aa67-ac7289d091ca,10.47,14.61,11.12,5
11292,62fe16f8-11f5-11eb-aa67-ac7289d091ca,12.99,6.4,13.02,13
13642,63269326-11f5-11eb-aa67-ac7289d091ca,12.97,5.71,14.71,6
6210,6260f026-11f5-11eb-aa67-ac7289d091ca,5.78,14.19,9.89,9
13184,627493a6-11f5-11eb-aa67-ac7289d091ca,6.92,10.75,5.18,12
13249,62480304-11f5-11eb-aa67-ac7289d091ca,8.26,12.11,12.29,6
5240,6319b494-11f5-11eb-aa67-ac7289d091ca,6.44,6.16,12.4,12
19911,628b92e0-11f5-11eb-aa67-ac7289d091ca,12.03,10.41,14.15,14
13,6275f6ce-11f5-11eb-aa67-ac7289d091ca,9.71,13.2,10.15,12
16037,63273182-11f5-11eb-aa67-ac7289d091ca,5.51,7.28,11.31,5
16539,62e6888a-11f5-11eb-aa67-ac7289d091ca,8.98,12.6,7.64,12
19972,62f9a56e-11f5-11eb-aa67-ac7289d091ca,14.76,5.46,14.35,7
15666,625c24c4-11f5-11eb-aa67-ac7289d091ca,10.99,13.31,8.07,8
4767,623482a2-11f5-11eb-aa67-ac7289d091ca,13.95,6.25,13.09,7
6955,624b0b94-11f5-11eb-aa67-ac7289d091ca,7.67,13.46,8.38,6
6559,62d638ae-11f5-11eb-aa67-ac7289d091ca,7.43,11.3,13.33,14
10777,62e5ce86-11f5-11eb-aa67-ac7289d091ca,10.47,9.87,10.6,13
2219,62d482e8-11f5-11eb-aa67-ac7289d091ca,6.64,13.65,10.6,11
15727,62bda398-11f5-11eb-aa67-ac7289d091ca,14.69,7.92,14.31,10
19771,6240ec22-11f5-11eb-aa67-ac7289d091ca,5.57,10.23,14.34,13
13493,626937cc-11f5-11eb-aa67-ac7289d091ca,13.49,7.79,11.36,11
2377,6228039c-11f5-11eb-aa67-ac7289d091ca,11.89,14.61,7.47,6
10835,6273c73c-11f5-11eb-aa67-ac7289d091ca,11.37,13.26,14.18,12
5451,630be2f6-11f5-11eb-aa67-ac7289d091ca,14.68,12.89,5.28,10
3668,6254fcee-11f5-11eb-aa67-ac7289d091ca,12.52,12.94,8.2,5
17462,625ef726-11f5-11eb-aa67-ac7289d091ca,10.21,6.01,14.88,8
17041,62ce1872-11f5-11eb-aa67-ac7289d091ca,14.31,5.47,5.01,6
2856,62e9a218-11f5-11eb-aa67-ac7289d091ca,5.92,6.72,12.74,8
17356,62dd1278-11f5-11eb-aa67-ac7289d091ca,8.96,14.34,11.48,9
3889,629d901c-11f5-11eb-aa67-ac7289d091ca,14.55,14.32,5.22,13
18137,6247329e-11f5-11eb-aa67-ac7289d091ca,13.32,7.07,8.95,5
12238,622cdfb6-11f5-11eb-aa67-ac7289d091ca,11.08,8.11,13.63,5
57,62be7692-11f5-11eb-aa67-ac7289d091ca,6.46,13.94,11.94,5
6320,623f16f4-11f5-11eb-aa67-ac7289d091ca,14.23,13.43,14.07,9
8786,632081f2-11f5-11eb-aa67-ac7289d091ca,10.32,13.25,7.08,8
17896,62f829aa-11f5-11eb-aa67-ac7289d091ca,13.81,12.79,10.61,5
6461,630eba26-11f5-11eb-aa67-ac7289d091ca,10.07,8.25,12.53,8
14442,628cf702-11f5-11eb-aa67-ac7289d091ca,8.24,11,7.43,14
14138,63096f62-11f5-11eb-aa67-ac7289d091ca,10.28,8.4,11.95,7
8625,63070ce0-11f5-11eb-aa67-ac7289d091ca,5.15,14.59,11.61,9
10836,622aceec-11f5-11eb-aa67-ac7289d091ca,11.19,5.72,6.42,8
18413,62719070-11f5-11eb-aa67-ac7289d091ca,10.64,12.97,7.83,11
19663,62fd759a-11f5-11eb-aa67-ac7289d091ca,6.85,5.31,8.97,13
12847,62a7f6ba-11f5-11eb-aa67-ac7289d091ca,10.21,7.26,12.93,7
15611,62e04b32-11f5-11eb-aa67-ac7289d091ca,7.63,13.7,6.38,8
14317,62c39fc8-11f5-11eb-aa67-ac7289d091ca,9.32,7.76,14.68,6
3179,630aa2ce-11f5-11eb-aa67-ac7289d091ca,6.79,5.38,13.28,15
6458,62898b12-11f5-11eb-aa67-ac7289d091ca,7.16,13.41,13.96,14
5664,62e45b6e-11f5-11eb-aa67-ac7289d091ca,9.08,6.62,12.04,6
4771,62498de6-11f5-11eb-aa67-ac7289d091ca,11.84,9.17,10.45,15
5863,62a23a0e-11f5-11eb-aa67-ac7289d091ca,5.16,14.09,12.45,14
13728,62c74be6-11f5-11eb-aa67-ac7289d091ca,5.45,6.72,12.71,6
17254,62c4784e-11f5-11eb-aa67-ac7289d091ca,9.38,8.14,8.34,5
10572,62ab6b60-11f5-11eb-aa67-ac7289d091ca,8.85,6.22,8.65,11
4938,623fe822-11f5-11eb-aa67-ac7289d091ca,13.01,9.3,6.7,10
6734,62a5f3b0-11f5-11eb-aa67-ac7289d091ca,13.99,13.9,7.66,12
9939,6323e338-11f5-11eb-aa67-ac7289d091ca,9.98,11.79,8.64,9
4044,630a0c10-11f5-11eb-aa67-ac7289d091ca,13.96,8.85,8.29,7
14792,631bd3aa-11f5-11eb-aa67-ac7289d091ca,7.12,5.97,7.02,8
18428,622fc104-11f5-11eb-aa67-ac7289d091ca,8.17,13.58,10.57,15
17780,628af0a6-11f5-11eb-aa67-ac7289d091ca,11.15,13.41,10.23,9
7842,63212346-11f5-11eb-aa67-ac7289d091ca,8.08,7.71,12.68,15
10139,6303a15e-11f5-11eb-aa67-ac7289d091ca,10.45,13.5,5.25,8
14275,62e3af0c-11f5-11eb-aa67-ac7289d091ca,9.84,12.74,11.8,15
14975,62feb2fc-11f5-11eb-aa67-ac7289d091ca,6.48,5.14,6.76,15
7052,626ff10c-11f5-11eb-aa67-ac7289d091ca,14.43,7.03,11.17,14
4453,62fc3a40-11f5-11eb-aa67-ac7289d091ca,14.16,14.74,9.8,8
14060,62c5e9b8-11f5-11eb-aa67-ac7289d091ca,5.04,5.87,10.01,10
6144,62db6afe-11f5-11eb-aa67-ac7289d091ca,7.76,10.7,12.86,9
16447,62ed99a4-11f5-11eb-aa67-ac7289d091ca,5.43,14.36,7.5,7
1787,625b3e06-11f5-11eb-aa67-ac7289d091ca,14.91,13.09,14.47,11
3801,629ce856-11f5-11eb-aa67-ac7289d091ca,11.75,7.86,8.39,7
4446,62e12520-11f5-11eb-aa67-ac7289d091ca,7.01,13.4,14.4,6
5179,632338e8-11f5-11eb-aa67-ac7289d091ca,10.99,13.09,10.07,8
19537,624e7518-11f5-11eb-aa67-ac7289d091ca,8.93,13.47,8.62,10
7675,62e83694-11f5-11eb-aa67-ac7289d091ca,8.89,7.03,6.08,14
14233,6272d2e6-11f5-11eb-aa67-ac7289d091ca,11.69,8.4,6.99,6
2653,62f3c478-11f5-11eb-aa67-ac7289d091ca,7.85,11.35,8.02,14
17631,624624ee-11f5-11eb-aa67-ac7289d091ca,9.83,9.35,5.58,10
15937,62ef7dd2-11f5-11eb-aa67-ac7289d091ca,11.28,10.65,12.13,5
7230,62b61984-11f5-11eb-aa67-ac7289d091ca,7.34,9.74,13.25,15
8936,6313eb7c-11f5-11eb-aa67-ac7289d091ca,13.15,11.33,5.56,13
14922,628e4c60-11f5-11eb-aa67-ac7289d091ca,11.05,12.21,9.85,10
16035,62aa8ea2-11f5-11eb-aa67-ac7289d091ca,7.6,14.02,6.57,14
4043,6263c9cc-11f5-11eb-aa67-ac7289d091ca,12.17,12.41,11.43,10
142,63045892-11f5-11eb-aa67-ac7289d091ca,12.11,11.44,8.44,10
15047,62944606-11f5-11eb-aa67-ac7289d091ca,11.5,8.94,9.55,5
15813,62a0e2f8-11f5-11eb-aa67-ac7289d091ca,9.41,9.51,6.32,12
14228,626e2cc8-11f5-11eb-aa67-ac7289d091ca,9.99,12.3,12.63,13
9767,62de9030-11f5-11eb-aa67-ac7289d091ca,14.17,14.41,7.51,13
9946,628a423c-11f5-11eb-aa67-ac7289d091ca,13.25,8.98,9.83,9
11502,62622914-11f5-11eb-aa67-ac7289d091ca,9.49,14.85,11.36,8
5851,62b851c2-11f5-11eb-aa67-ac7289d091ca,13.84,6.88,8.11,7
12783,6314b692-11f5-11eb-aa67-ac7289d091ca,9.93,9.98,14.46,14
2392,62eb8c5e-11f5-11eb-aa67-ac7289d091ca,7.09,9.23,9.96,15
17849,63082e86-11f5-11eb-aa67-ac7289d091ca,9.53,7.29,13.81,11
4030,62354bf6-11f5-11eb-aa67-ac7289d091ca,7.71,9.9,11.43,15
18340,6295ff6e-11f5-11eb-aa67-ac7289d091ca,9.82,10.81,5.25,14
9096,631d01a8-11f5-11eb-aa67-ac7289d091ca,8.82,13.7,15,8
715,62ca3734-11f5-11eb-aa67-ac7289d091ca,9.44,5.18,10.91,11
11844,629e2da6-11f5-11eb-aa67-ac7289d091ca,12.79,7.04,11.11,11
8847,62f8e57a-11f5-11eb-aa67-ac7289d091ca,7.25,14.88,14.34,15
9631,63012c76-11f5-11eb-aa67-ac7289d091ca,13.98,14.85,10.63,8
12827,62c69f3e-11f5-11eb-aa67-ac7289d091ca,11.23,12.56,5.4,15
15828,62b6d07c-11f5-11eb-aa67-ac7289d091ca,10.51,8.91,7.71,15
16110,62bf383e-11f5-11eb-aa67-ac7289d091ca,11.98,10.84,5.78,7
14415,62f5299e-11f5-11eb-aa67-ac7289d091ca,14.76,13.51,6.35,6
1065,63030b86-11f5-11eb-aa67-ac7289d091ca,14.48,9.91,12.4,14
1207,62b7880a-11f5-11eb-aa67-ac7289d091ca,7.59,9.58,5.19,12
8936,630c993a-11f5-11eb-aa67-ac7289d091ca,10.22,13.33,12.3,13
8562,6254295e-11f5-11eb-aa67-ac7289d091ca,6.4,13.62,14.53,10
16019,6298c60e-11f5-11eb-aa67-ac7289d091ca,5.39,7.57,14.14,11
16609,624a46fa-11f5-11eb-aa67-ac7289d091ca,12.46,11.63,9.29,11
