user_id,rollcall_score,class_activity,discipline,total_quizzes_avg,position
19133,11,14.35,9.06,10.81,E
8957,14,9.6,11.17,6.17,A
18735,6,7.05,7.28,13.85,E
6714,8,11.75,13.66,8.02,F
11816,6,5.38,6.46,5.61,E
1291,9,14.09,12.2,11.39,F
10174,9,8.27,11.6,10.34,D
15219,5,12.48,11.35,10.56,B
7811,8,13.19,13.87,14.95,F
12088,9,5.64,14.34,11.28,D
5573,13,5.25,13.75,9.57,A
16062,10,5.96,6.54,14.27,C
5441,14,14.49,7.56,6.99,E
2801,6,13.46,9.92,14.57,B
15808,15,8.47,12.32,9.57,A
4165,14,14.75,8.6,8.29,E
17173,9,8.54,10.31,12.36,E
8010,15,8.61,14.02,5.06,A
17533,13,9.53,5.08,7.87,C
3845,10,7.4,11.84,12.02,D
423,14,6.15,10.56,7.35,A
86,13,14.91,8.46,14.28,E
7591,11,14.43,7.66,8.72,E
12501,7,10.56,7.65,12.98,B
3869,9,7.03,9.2,6.48,D
3093,12,12.36,10.66,9.41,D
2684,14,7.37,5.12,14.44,C
7434,13,6.18,5.37,14.09,C
19390,6,6.6,11.56,11.52,F
2935,10,13.58,9.09,14.31,E
3106,8,12.4,13.88,13.23,F
19696,6,8.16,11.78,8.71,F
15866,15,14.57,5.8,7.21,C
7036,7,12.95,12.53,14.73,F
5002,14,14.87,6.65,9.07,E
7929,13,12.27,11.63,11.96,D
16752,9,10.79,7.86,7.97,E
8939,15,5.27,12.56,11.76,A
10271,11,10.12,10.09,12.08,D
17875,6,7.95,14.2,5.4,F
12025,8,13.38,6.48,11.65,B
10068,14,13.29,11.14,5.75,D
10576,7,8.93,5.34,14.65,B
4905,10,10.46,7.37,6.34,E
10444,14,5.73,14.47,12.09,A
3648,14,12.91,12.56,14.27,D
1280,7,14.12,6.72,8.64,B
13695,5,12.42,12.98,6.17,F
2270,5,9.25,7.51,7.19,B
9707,12,11.54,12.51,6.62,D
12691,13,14.58,13.6,10.05,D
16994,5,14.73,14.84,6.41,F
15194,5,12.53,14.95,13.85,F
9625,5,13.92,12.1,5.29,B
10888,13,10.33,8.71,12.56,C
14254,11,7.17,12.45,8.92,D
18982,8,14.45,5.24,11.9,B
401,12,11.63,10.15,13.17,C
11883,13,10.18,13.65,13.28,A
19732,14,10.4,14.51,10.46,A
12402,15,10.85,14.52,10.37,A
3685,6,14.91,8.24,6.26,B
14383,10,8.21,7.69,5.38,D
5874,13,6.37,13.38,8.57,A
18141,10,10.44,10.57,8.82,D
4038,8,6.74,13.15,8.12,D
18855,6,5.08,13.64,7.58,D
10586,7,14.62,7.55,13.4,B
75,11,13.44,12.01,14.33,E
15894,9,9.64,11.28,11.05,D
8083,11,14.99,9.37,5.9,F
8566,8,11.04,11.85,5.61,F
19248,14,14.6,13.76,8.3,D
7837,14,10.55,12.48,8.34,A
18292,6,10.79,8.33,12.65,B
10945,7,5.92,10.62,7.61,D
209,11,5.45,7.23,11.49,C
19451,14,8.44,11.25,5.84,A
10839,6,10.03,12.5,8.96,F
843,15,11.11,10.26,9.69,A
18548,15,13.59,5.59,8.23,C
2530,5,8.3,9.8,13.81,B
15579,10,5.95,5.02,13.56,C
9322,12,14.7,7.86,11.57,E
11526,14,10.14,8.21,6.92,C
6119,5,6.81,5.06,13.31,B
7959,11,7.62,12.7,10.99,D
19886,7,10.13,10.83,6.62,F
6714,7,13.3,12.37,7.52,F
10446,6,14.42,11.74,13.23,B
11078,5,11.52,7.65,9.84,B
12480,12,9.77,14.86,7.35,D
17030,15,13.58,5.8,5.63,C
6785,7,11.95,13.58,11.06,F
14815,8,12.49,5.45,5.11,B
9696,8,5.06,12.84,12.46,D
19159,5,5.18,11.61,11.96,F
19002,6,14.75,9.12,14.04,B
3363,8,7.05,7.43,8.21,E
11791,13,9.84,7.13,8.93,C
14403,14,12.67,9.56,5.34,D
14689,5,13.88,7.01,5.73,B
756,5,8.62,8.62,10.0,B
13822,6,13.57,8.24,7.78,B
6130,13,12.62,10.03,6.15,D
19873,12,11.61,11.94,11.74,D
12797,5,11.26,7.71,5.61,B
10000,6,7.95,13.44,6.78,F
1578,8,12.22,8.97,11.97,F
19223,5,14.58,8.84,11.67,B
14129,14,11.83,8.61,5.68,C
11655,10,6.63,7.94,14.34,C
1788,12,12.34,11.97,14.15,D
6109,14,5.14,8.94,9.28,A
14649,8,14.99,12.66,5.79,F
4413,8,11.25,10.43,13.01,F
17127,7,6.97,6.39,7.42,E
4544,10,9.65,12.34,9.51,D
1220,13,13.6,10.59,9.06,D
7452,8,13.81,13.54,14.25,F
15816,7,13.71,8.47,11.3,B
5456,5,13.51,6.21,7.18,B
3304,12,13.36,6.45,11.16,E
19025,10,6.48,6.42,6.92,C
11116,14,10.16,12.44,13.24,A
256,14,13.02,8.58,12.04,C
11368,10,10.68,11.45,14.21,E
10868,15,11.25,6.0,10.39,C
19070,13,6.61,6.69,11.57,A
5755,7,13.62,13.33,11.85,F
12531,12,14.6,14.91,9.67,D
408,7,7.05,7.4,9.34,E
3454,9,6.1,10.24,5.25,D
13855,9,11.58,14.35,7.74,D
14497,8,10.63,14.23,9.0,F
17059,7,6.35,7.56,10.28,E
7827,12,7.52,9.39,10.11,C
14197,5,8.49,10.2,12.41,F
3360,8,7.02,9.42,13.07,E
2017,8,11.65,14.42,7.78,F
8816,10,5.01,10.58,11.8,C
9331,13,10.29,5.67,10.41,C
1274,7,8.75,6.13,13.61,B
12269,13,8.63,9.77,10.78,A
10741,13,6.76,14.83,12.03,A
1772,6,8.61,9.72,10.56,F
790,12,5.34,12.77,8.74,A
395,8,8.2,10.0,12.52,E
10244,6,14.63,14.35,6.59,F
1607,5,12.12,9.48,12.42,B
11529,7,11.98,11.21,11.44,F
5174,11,12.07,14.29,9.9,D
12933,7,14.44,14.23,5.98,F
6962,8,12.29,12.74,6.59,F
2210,7,11.71,12.46,14.96,F
4989,10,11.98,12.36,12.47,D
10744,15,7.31,14.23,10.53,A
13052,8,13.21,9.86,14.83,B
6157,10,8.03,13.89,14.99,D
12239,10,5.19,6.54,10.82,C
11089,9,11.38,14.84,9.13,D
5919,8,11.21,12.73,11.81,F
2826,11,12.13,12.27,10.5,D
8053,10,5.69,12.92,13.91,A
17686,13,6.02,14.62,6.6,A
15421,11,5.44,14.26,11.14,A
8256,5,9.37,7.44,6.66,B
3360,10,14.73,6.05,14.57,B
19874,7,9.14,13.52,11.45,F
17722,14,7.34,14.04,11.42,A
16152,9,7.08,11.28,14.61,D
11956,10,9.31,11.61,13.29,D
6206,6,6.34,14.19,9.28,D
12399,15,13.7,5.26,7.12,C
1596,5,5.82,14.72,14.37,F
1245,15,14.03,11.63,8.96,D
957,7,12.73,11.11,12.07,F
6741,7,13.2,8.34,12.99,B
2304,11,13.94,12.8,9.91,D
3714,5,13.75,12.31,6.89,B
18781,10,14.52,14.59,6.55,F
1021,8,10.24,11.48,8.34,F
14249,9,14.73,9.92,8.05,F
5705,13,7.02,6.19,12.34,C
17527,8,10.97,11.63,7.4,F
13308,7,5.63,11.09,13.13,D
3465,11,7.32,12.93,9.7,D
17383,9,13.75,13.67,8.41,F
3361,11,5.28,9.82,13.72,C
12766,12,11.24,10.92,12.17,D
979,5,9.57,6.67,7.77,B
14563,8,5.46,8.11,13.88,E
10946,8,7.44,11.58,9.75,D
4912,14,12.16,12.82,5.07,D
2102,7,11.47,5.89,5.48,B
14397,8,9.78,7.66,7.83,E
16511,13,8.94,14.13,6.17,A
8365,14,7.36,9.02,13.57,A
12985,15,13.88,8.59,12.3,C
1774,15,13.49,5.11,11.32,C
18044,6,14.23,7.54,5.24,B
10479,6,12.29,10.73,12.62,B
13396,8,14.22,14.56,11.01,F
16701,7,8.53,8.23,8.55,E
5716,14,11.13,9.18,11.46,C
2087,6,6.08,5.04,7.32,B
17714,13,14.58,7.98,5.05,E
9665,9,10.18,12.35,11.52,D
821,6,8.67,13.65,10.48,F
5225,14,8.72,12.5,6.2,A
19750,11,9.27,8.04,11.33,C
17850,13,14.42,7.72,10.14,E
13237,14,5.67,9.12,5.18,A
17171,15,6.1,10.35,8.17,A
7340,13,12.25,6.18,13.96,C
11026,14,12.38,5.86,7.75,C
2747,10,5.19,13.19,12.03,A
11374,8,9.7,12.01,5.67,D
11328,8,7.72,13.79,13.89,D
18875,15,11.26,10.22,7.23,A
4329,6,14.57,8.32,11.14,B
17039,10,7.97,12.1,5.75,D
8300,8,6.4,10.07,5.34,D
3657,7,13.35,12.58,9.26,F
4480,11,12.1,12.29,9.48,D
9034,8,9.17,7.08,12.44,E
1108,9,13.58,11.56,6.81,F
7121,7,13.3,5.48,11.7,B
380,13,14.73,12.41,12.67,D
3032,10,7.73,7.59,5.49,D
5949,12,12.74,7.33,5.23,E
15048,5,11.48,8.43,11.55,B
8130,15,9.28,14.01,13.83,A
6179,8,8.72,7.88,7.01,E
2925,15,10.4,9.26,7.05,A
3631,7,8.36,5.56,14.64,B
10523,6,7.37,8.31,7.41,F
3386,10,5.73,9.57,11.01,C
13382,9,7.38,10.49,12.72,D
1412,10,8.45,13.83,7.33,D
15964,10,5.37,14.65,9.59,A
16600,9,9.93,13.89,11.17,D
8856,11,11.3,6.06,8.43,E
9443,9,14.57,13.19,6.25,F
6415,8,5.93,11.76,6.69,D
8801,12,13.75,8.3,10.1,E
14338,5,7.9,10.02,7.69,F
1910,5,5.17,6.19,9.9,B
10997,7,9.3,10.79,13.06,F
6534,11,14.4,5.35,9.04,E
6113,11,6.8,11.45,9.24,A
7530,9,12.33,5.07,14.76,B
10234,15,11.92,5.21,6.45,C
10875,14,6.57,7.65,11.46,A
17105,8,11.6,8.21,7.36,F
12420,10,6.41,8.87,14.87,C
17149,10,11.14,6.18,14.05,E
4912,12,8.73,6.52,11.01,C
2425,8,9.86,14.49,8.77,D
11351,8,10.59,5.62,6.1,B
10142,8,8.67,14.04,14.13,D
16132,11,9.78,9.92,13.6,C
9761,15,12.58,7.34,6.72,C
4151,6,5.12,8.75,5.18,E
4511,6,7.07,13.09,10.71,F
4843,6,9.22,6.84,14.67,B
1333,5,5.47,8.09,5.09,F
14200,5,10.09,12.34,13.78,F
10887,8,13.46,9.3,13.4,B
13749,10,11.56,7.39,10.86,E
14073,13,5.51,10.52,12.18,A
19000,15,14.36,13.17,6.21,D
14098,6,14.0,6.12,13.65,B
7262,15,11.97,9.35,10.37,C
13874,6,8.04,7.19,7.23,B
4789,15,8.55,6.13,8.55,A
